symbol_a,symbol_b,lag,correlation,p_value,stability,n_overlap_days
AAPL,AMZN,1,-0.019266,0.10108285,0.0624,7245
AAPL,AMZN,2,-0.003131,0.78993107,0.0694,7245
AAPL,AMZN,3,0.002688,0.81907944,0.0615,7245
AAPL,AMZN,4,0.01025,0.38314362,0.0614,7245
AAPL,AMZN,5,-0.010971,0.35061271,0.0586,7245
AAPL,AMZN,7,0.002188,0.85233527,0.0405,7245
AAPL,AMZN,10,-0.01341,0.25409565,0.0455,7245
AAPL,AMZN,14,0.005047,0.66783469,0.0455,7245
AAPL,AMZN,20,-0.005919,0.61495227,0.0604,7245
AAPL,AMZN,30,0.027108,0.02129897,0.0495,7245
AMZN,AAPL,1,-0.012273,0.29630026,0.0526,7245
AMZN,AAPL,2,-0.022044,0.06065861,0.0517,7245
AMZN,AAPL,3,-0.008575,0.46561395,0.0477,7245
AMZN,AAPL,4,0.015345,0.19169481,0.0556,7245
AMZN,AAPL,5,0.009233,0.43217361,0.0636,7245
AMZN,AAPL,7,0.01767,0.1328027,0.0671,7245
AMZN,AAPL,10,0.020427,0.08231839,0.0434,7245
AMZN,AAPL,14,-0.010914,0.35344318,0.0643,7245
AMZN,AAPL,20,0.013451,0.25296827,0.0465,7245
AMZN,AAPL,30,-0.002452,0.83507444,0.0408,7245
AAPL,AVGO,1,-0.065988,2.012e-05,0.0888,4169
AAPL,AVGO,2,0.006424,0.67848156,0.0666,4169
AAPL,AVGO,3,-0.058152,0.00017303,0.0579,4169
AAPL,AVGO,4,-0.009082,0.55791889,0.0521,4169
AAPL,AVGO,5,-0.008837,0.56863693,0.0607,4169
AAPL,AVGO,7,0.042457,0.00615427,0.0667,4169
AAPL,AVGO,10,-0.002314,0.88138402,0.0571,4169
AAPL,AVGO,14,0.004512,0.77125282,0.0727,4169
AAPL,AVGO,20,0.013637,0.37985393,0.0523,4169
AAPL,AVGO,30,0.009148,0.5562651,0.0525,4169
AVGO,AAPL,1,-0.040308,0.00925341,0.0551,4169
AVGO,AAPL,2,0.034923,0.02417395,0.0462,4169
AVGO,AAPL,3,-9.6e-05,0.99505182,0.0569,4169
AVGO,AAPL,4,-0.015639,0.31295625,0.0675,4169
AVGO,AAPL,5,0.019669,0.20445607,0.0616,4169
AVGO,AAPL,7,0.045259,0.00349549,0.0618,4169
AVGO,AAPL,10,-0.003104,0.84137964,0.0522,4169
AVGO,AAPL,14,0.009783,0.52841879,0.0542,4169
AVGO,AAPL,20,-0.00639,0.68073804,0.0572,4169
AVGO,AAPL,30,-0.004316,0.78132324,0.0632,4169
AAPL,BIMI,1,0.021927,0.10595042,0.0706,5438
AAPL,BIMI,2,-0.009084,0.50308229,0.0635,5438
AAPL,BIMI,3,0.003105,0.81900452,0.0569,5438
AAPL,BIMI,4,-0.017303,0.20221323,0.0582,5438
AAPL,BIMI,5,-0.009882,0.4664729,0.0566,5438
AAPL,BIMI,7,0.020206,0.13652108,0.0475,5438
AAPL,BIMI,10,-0.025387,0.06145253,0.0423,5438
AAPL,BIMI,14,0.014805,0.27565273,0.0529,5438
AAPL,BIMI,20,0.020818,0.12548792,0.0716,5438
AAPL,BIMI,30,-0.020673,0.12848677,0.0666,5438
BIMI,AAPL,1,0.011989,0.37677795,0.0425,5438
BIMI,AAPL,2,0.000788,0.95369787,0.06,5438
BIMI,AAPL,3,-0.000635,0.96268447,0.0644,5438
BIMI,AAPL,4,0.001587,0.90687965,0.073,5438
BIMI,AAPL,5,0.000787,0.95377895,0.0518,5438
BIMI,AAPL,7,-0.027457,0.04303684,0.0507,5438
BIMI,AAPL,10,-0.002276,0.86688317,0.0419,5438
BIMI,AAPL,14,0.025909,0.05638931,0.0683,5438
BIMI,AAPL,20,-0.010619,0.43451573,0.0612,5438
BIMI,AAPL,30,-0.009323,0.49307103,0.0567,5438
AAPL,BITF,1,0.005327,0.82911613,0.064,1645
AAPL,BITF,2,-0.031175,0.20659449,0.0441,1645
AAPL,BITF,3,-0.01459,0.55466256,0.0721,1645
AAPL,BITF,4,-0.052308,0.03410873,0.0973,1645
AAPL,BITF,5,0.02505,0.3106665,0.0353,1645
AAPL,BITF,7,-0.033185,0.17945512,0.0881,1645
AAPL,BITF,10,0.034337,0.1652104,0.0626,1645
AAPL,BITF,14,-0.007823,0.75223134,0.0635,1645
AAPL,BITF,20,-0.017668,0.47664174,0.0622,1645
AAPL,BITF,30,-0.036494,0.14266226,0.0739,1645
BITF,AAPL,1,-0.045237,0.06669373,0.0779,1645
BITF,AAPL,2,0.005171,0.83409123,0.0574,1645
BITF,AAPL,3,-0.017436,0.48014783,0.0473,1645
BITF,AAPL,4,0.021015,0.39490244,0.0702,1645
BITF,AAPL,5,0.022846,0.35517622,0.0605,1645
BITF,AAPL,7,0.007168,0.77189867,0.0515,1645
BITF,AAPL,10,-0.032338,0.19123258,0.0473,1645
BITF,AAPL,14,0.008495,0.73172002,0.068,1645
BITF,AAPL,20,-0.000143,0.99539524,0.0303,1645
BITF,AAPL,30,0.022138,0.37396137,0.051,1645
AAPL,BITQ,1,-0.025138,0.38289359,0.0329,1208
AAPL,BITQ,2,-0.014004,0.62708803,0.0447,1208
AAPL,BITQ,3,-0.052575,0.06808882,0.0719,1208
AAPL,BITQ,4,-0.039828,0.16724969,0.0978,1208
AAPL,BITQ,5,0.01873,0.51631718,0.0424,1208
AAPL,BITQ,7,-0.023223,0.42136265,0.0663,1208
AAPL,BITQ,10,-0.021128,0.46502104,0.0365,1208
AAPL,BITQ,14,-0.019176,0.50797719,0.0824,1208
AAPL,BITQ,20,0.010555,0.71628517,0.0592,1208
AAPL,BITQ,30,-0.043477,0.13587665,0.0554,1208
BITQ,AAPL,1,-0.004479,0.87645586,0.0422,1208
BITQ,AAPL,2,0.013637,0.63613029,0.06,1208
BITQ,AAPL,3,-0.020922,0.46808544,0.0405,1208
BITQ,AAPL,4,-0.040515,0.1600412,0.062,1208
BITQ,AAPL,5,0.025223,0.38207858,0.0705,1208
BITQ,AAPL,7,0.020178,0.48479791,0.0491,1208
BITQ,AAPL,10,-0.031077,0.28247753,0.0391,1208
BITQ,AAPL,14,-0.0075,0.79573193,0.0573,1208
BITQ,AAPL,20,0.024667,0.39563418,0.0386,1208
BITQ,AAPL,30,0.031799,0.27547844,0.0722,1208
AAPL,BITU,1,-0.076944,0.09187023,0.0338,482
AAPL,BITU,2,0.052183,0.25383745,0.0408,482
AAPL,BITU,3,-0.078788,0.08497391,0.0404,482
AAPL,BITU,4,-0.086057,0.06010078,0.0572,482
AAPL,BITU,5,0.007537,0.86959351,0.037,482
AAPL,BITU,7,-0.037342,0.41679501,0.038,482
AAPL,BITU,10,0.002839,0.9509538,0.0354,482
AAPL,BITU,14,-0.063519,0.17011548,0.0541,482
AAPL,BITU,20,0.057333,0.21869912,0.0949,482
AAPL,BITU,30,0.028764,0.54187883,0.0827,482
BITU,AAPL,1,0.03772,0.4091472,0.0542,482
BITU,AAPL,2,-0.069972,0.12579553,0.0409,482
BITU,AAPL,3,-0.003261,0.94325715,0.0416,482
BITU,AAPL,4,-0.059808,0.1917748,0.0648,482
BITU,AAPL,5,0.005223,0.90942025,0.0227,482
BITU,AAPL,7,-0.001313,0.97723709,0.0559,482
BITU,AAPL,10,-0.058076,0.2078652,0.0417,482
BITU,AAPL,14,-0.044895,0.33248383,0.0649,482
BITU,AAPL,20,0.067249,0.14897087,0.0509,482
BITU,AAPL,30,-0.011659,0.80475606,0.0157,482
AAPL,BITX,1,-0.053512,0.16555583,0.0303,674
AAPL,BITX,2,-0.012554,0.74530791,0.1227,674
AAPL,BITX,3,-0.060061,0.12011083,0.0443,674
AAPL,BITX,4,-0.088119,0.02254336,0.0775,674
AAPL,BITX,5,0.004935,0.89862346,0.0315,674
AAPL,BITX,7,-0.018843,0.62712615,0.0526,674
AAPL,BITX,10,0.034875,0.36958888,0.068,674
AAPL,BITX,14,-0.057768,0.13820565,0.0675,674
AAPL,BITX,20,0.055,0.1600483,0.0792,674
AAPL,BITX,30,0.011622,0.76847552,0.063,674
BITX,AAPL,1,-0.00785,0.83891315,0.0573,674
BITX,AAPL,2,-0.057718,0.13499833,0.0442,674
BITX,AAPL,3,-0.023694,0.54007941,0.0513,674
BITX,AAPL,4,-0.044569,0.24929369,0.0736,674
BITX,AAPL,5,-0.002739,0.94363335,0.0286,674
BITX,AAPL,7,0.014005,0.71808109,0.0578,674
BITX,AAPL,10,-0.042306,0.27634285,0.0497,674
BITX,AAPL,14,-0.040017,0.30464268,0.0732,674
BITX,AAPL,20,0.037699,0.33575187,0.0484,674
BITX,AAPL,30,-0.006602,0.86720205,0.0367,674
AAPL,BND,1,0.083488,1e-08,0.0797,4756
AAPL,BND,2,0.001222,0.93289285,0.0554,4756
AAPL,BND,3,0.033227,0.02197604,0.0515,4756
AAPL,BND,4,-0.011292,0.43642476,0.0564,4756
AAPL,BND,5,0.029647,0.04101403,0.0466,4756
AAPL,BND,7,0.001879,0.89700296,0.0515,4756
AAPL,BND,10,-0.015497,0.28578476,0.0574,4756
AAPL,BND,14,-0.002401,0.86871018,0.0749,4756
AAPL,BND,20,-0.023075,0.11232894,0.0535,4756
AAPL,BND,30,-0.03574,0.01400533,0.0499,4756
BND,AAPL,1,-0.03154,0.02963828,0.0427,4756
BND,AAPL,2,-0.017081,0.23898662,0.0857,4756
BND,AAPL,3,0.023626,0.10339895,0.0564,4756
BND,AAPL,4,0.0028,0.84696425,0.0466,4756
BND,AAPL,5,-0.009041,0.53327289,0.0369,4756
BND,AAPL,7,0.05489,0.00015404,0.073,4756
BND,AAPL,10,-0.012312,0.39642887,0.0574,4756
BND,AAPL,14,-0.019151,0.18732383,0.0554,4756
BND,AAPL,20,0.019545,0.1786858,0.0526,4756
BND,AAPL,30,-0.002091,0.88573117,0.0548,4756
AAPL,BRK-B,1,-0.018393,0.11119785,0.073,7502
AAPL,BRK-B,2,-0.019122,0.09774,0.0622,7502
AAPL,BRK-B,3,0.013115,0.25614772,0.0681,7502
AAPL,BRK-B,4,-0.01802,0.11870427,0.0671,7502
AAPL,BRK-B,5,-0.015547,0.17831654,0.0533,7502
AAPL,BRK-B,7,0.021368,0.0643414,0.0602,7502
AAPL,BRK-B,10,-0.018211,0.1149926,0.0505,7502
AAPL,BRK-B,14,-0.01669,0.1487117,0.0515,7502
AAPL,BRK-B,20,0.017291,0.1347902,0.0545,7502
AAPL,BRK-B,30,0.003257,0.77834716,0.0615,7502
BRK-B,AAPL,1,-0.013623,0.23810273,0.072,7502
BRK-B,AAPL,2,-0.010573,0.35992574,0.0513,7502
BRK-B,AAPL,3,-0.010767,0.35120986,0.0464,7502
BRK-B,AAPL,4,-0.006181,0.59252794,0.0631,7502
BRK-B,AAPL,5,-0.009316,0.41994471,0.0444,7502
BRK-B,AAPL,7,0.010508,0.36305935,0.0681,7502
BRK-B,AAPL,10,-0.002367,0.83770459,0.0396,7502
BRK-B,AAPL,14,-0.00731,0.52706911,0.0505,7502
BRK-B,AAPL,20,0.010269,0.3744488,0.0525,7502
BRK-B,AAPL,30,0.003359,0.77158699,0.0535,7502
AAPL,BTBT,1,0.01029,0.64565184,0.0472,2000
AAPL,BTBT,2,0.023382,0.29618569,0.0528,2000
AAPL,BTBT,3,0.033356,0.13619545,0.0472,2000
AAPL,BTBT,4,-0.028454,0.20383797,0.0745,2000
AAPL,BTBT,5,-0.004025,0.85742604,0.0701,2000
AAPL,BTBT,7,0.009102,0.68466699,0.0626,2000
AAPL,BTBT,10,-0.000709,0.9747742,0.0483,2000
AAPL,BTBT,14,0.012173,0.58771144,0.059,2000
AAPL,BTBT,20,-0.015814,0.48188037,0.0629,2000
AAPL,BTBT,30,-0.018619,0.40883358,0.045,2000
BTBT,AAPL,1,-0.030824,0.16832297,0.0483,2000
BTBT,AAPL,2,-0.001786,0.93639603,0.0643,2000
BTBT,AAPL,3,0.009967,0.65621948,0.0568,2000
BTBT,AAPL,4,-0.0269,0.22965261,0.0521,2000
BTBT,AAPL,5,0.00868,0.69840903,0.0577,2000
BTBT,AAPL,7,0.014001,0.53216829,0.0455,2000
BTBT,AAPL,10,-0.04472,0.04607886,0.059,2000
BTBT,AAPL,14,0.008038,0.72035135,0.0457,2000
BTBT,AAPL,20,0.030781,0.17095654,0.0678,2000
BTBT,AAPL,30,0.002705,0.90450251,0.0576,2000
AAPL,BTDR,1,-0.02982,0.31146938,0.0628,1155
AAPL,BTDR,2,0.01204,0.68297221,0.0513,1155
AAPL,BTDR,3,-0.02797,0.34288083,0.0611,1155
AAPL,BTDR,4,-0.009246,0.7540148,0.0664,1155
AAPL,BTDR,5,-0.003118,0.9158756,0.0616,1155
AAPL,BTDR,7,-0.044358,0.13308461,0.0779,1155
AAPL,BTDR,10,0.000101,0.99727319,0.0355,1155
AAPL,BTDR,14,-0.019676,0.50671795,0.0609,1155
AAPL,BTDR,20,0.023655,0.42593395,0.0603,1155
AAPL,BTDR,30,-0.009405,0.75266651,0.0643,1155
BTDR,AAPL,1,-0.001282,0.9652988,0.0459,1155
BTDR,AAPL,2,0.063835,0.03020179,0.0612,1155
BTDR,AAPL,3,-0.009046,0.75906694,0.0548,1155
BTDR,AAPL,4,-0.015246,0.60534766,0.0558,1155
BTDR,AAPL,5,0.003694,0.90042899,0.0745,1155
BTDR,AAPL,7,0.008444,0.77504513,0.0633,1155
BTDR,AAPL,10,0.006076,0.83727117,0.0944,1155
BTDR,AAPL,14,0.00681,0.818262,0.06,1155
BTDR,AAPL,20,-0.000878,0.97641639,0.0331,1155
BTDR,AAPL,30,0.021323,0.47493895,0.0507,1155
AAPL,CL=F,1,0.011856,0.34283938,0.0583,6404
AAPL,CL=F,2,0.007466,0.55032702,0.0554,6404
AAPL,CL=F,3,-0.014907,0.23305885,0.0709,6404
AAPL,CL=F,4,-0.004524,0.7174595,0.0612,6404
AAPL,CL=F,5,-0.020733,0.09724904,0.0603,6404
AAPL,CL=F,7,0.001492,0.90502614,0.0515,6404
AAPL,CL=F,10,-0.001626,0.8965513,0.0671,6404
AAPL,CL=F,14,-0.01102,0.37844762,0.0574,6404
AAPL,CL=F,20,0.050439,5.534e-05,0.0612,6404
AAPL,CL=F,30,0.018725,0.13496329,0.0693,6404
CL=F,AAPL,1,0.016448,0.18818235,0.0651,6404
CL=F,AAPL,2,-0.000293,0.98131278,0.0505,6404
CL=F,AAPL,3,0.007242,0.56241214,0.0534,6404
CL=F,AAPL,4,-0.013178,0.29183996,0.0651,6404
CL=F,AAPL,5,-0.009045,0.46940037,0.0622,6404
CL=F,AAPL,7,-0.008456,0.49893358,0.0563,6404
CL=F,AAPL,10,-0.012359,0.32309175,0.0496,6404
CL=F,AAPL,14,-0.007819,0.53202767,0.0486,6404
CL=F,AAPL,20,-0.007651,0.54104892,0.0525,6404
CL=F,AAPL,30,-0.001952,0.87616999,0.039,6404
AAPL,CLSK,1,-0.024447,0.23774861,0.049,2335
AAPL,CLSK,2,-0.011994,0.56256039,0.052,2335
AAPL,CLSK,3,-0.013324,0.52015828,0.0718,2335
AAPL,CLSK,4,0.006893,0.73941799,0.0906,2335
AAPL,CLSK,5,-0.016823,0.41698238,0.0543,2335
AAPL,CLSK,7,-0.005481,0.79152356,0.0362,2335
AAPL,CLSK,10,-0.004788,0.81752289,0.0622,2335
AAPL,CLSK,14,-0.00482,0.81646481,0.0681,2335
AAPL,CLSK,20,0.007981,0.70113365,0.0635,2335
AAPL,CLSK,30,-0.03474,0.09542349,0.0719,2335
CLSK,AAPL,1,0.016222,0.43342551,0.0608,2335
CLSK,AAPL,2,-0.004652,0.82231734,0.056,2335
CLSK,AAPL,3,0.018942,0.36054163,0.0521,2335
CLSK,AAPL,4,0.004145,0.84145293,0.043,2335
CLSK,AAPL,5,0.013515,0.5143705,0.0608,2335
CLSK,AAPL,7,0.003808,0.85428652,0.0513,2335
CLSK,AAPL,10,0.017676,0.39425703,0.0452,2335
CLSK,AAPL,14,0.016145,0.43689817,0.0522,2335
CLSK,AAPL,20,0.003285,0.8744846,0.0696,2335
CLSK,AAPL,30,0.025777,0.21605049,0.0558,2335
AAPL,COIN,1,-0.016974,0.55251293,0.0417,1228
AAPL,COIN,2,-0.010176,0.72186974,0.0513,1228
AAPL,COIN,3,-0.024632,0.38903997,0.0422,1228
AAPL,COIN,4,-0.061567,0.03125653,0.0602,1228
AAPL,COIN,5,-0.003815,0.89396998,0.0531,1228
AAPL,COIN,7,-0.04447,0.12040652,0.0633,1228
AAPL,COIN,10,0.002392,0.93353031,0.0393,1228
AAPL,COIN,14,-0.006988,0.80782017,0.0691,1228
AAPL,COIN,20,0.007183,0.80304616,0.0558,1228
AAPL,COIN,30,-0.03253,0.26056171,0.0581,1228
COIN,AAPL,1,0.033194,0.24528299,0.0689,1228
COIN,AAPL,2,0.019466,0.49590431,0.0253,1228
COIN,AAPL,3,-0.032893,0.24998107,0.0443,1228
COIN,AAPL,4,-0.038171,0.18201635,0.0639,1228
COIN,AAPL,5,0.024673,0.38862642,0.0519,1228
COIN,AAPL,7,0.034308,0.23093974,0.0388,1228
COIN,AAPL,10,-0.036325,0.20520641,0.0292,1228
COIN,AAPL,14,0.004872,0.86534039,0.0572,1228
COIN,AAPL,20,0.027113,0.34642366,0.0549,1228
COIN,AAPL,30,-0.024634,0.39428793,0.065,1228
AAPL,COST,1,-0.003957,0.69252522,0.0726,9990
AAPL,COST,2,0.008772,0.38073209,0.0687,9990
AAPL,COST,3,0.00708,0.47925041,0.0569,9990
AAPL,COST,4,0.009614,0.3367454,0.0501,9990
AAPL,COST,5,-0.027634,0.00575335,0.0639,9990
AAPL,COST,7,-0.002436,0.80773775,0.0599,9990
AAPL,COST,10,-0.023113,0.02094124,0.055,9990
AAPL,COST,14,-0.001043,0.91704753,0.0501,9990
AAPL,COST,20,-0.004148,0.67877753,0.0648,9990
AAPL,COST,30,0.002908,0.77168913,0.064,9990
COST,AAPL,1,-0.000549,0.95624765,0.0648,9990
COST,AAPL,2,-0.004152,0.67818201,0.0588,9990
COST,AAPL,3,0.00047,0.96254606,0.0441,9990
COST,AAPL,4,0.050467,4.5e-07,0.053,9990
COST,AAPL,5,0.017787,0.07551758,0.0471,9990
COST,AAPL,7,-0.019882,0.04698557,0.0638,9990
COST,AAPL,10,-0.001077,0.91429129,0.051,9990
COST,AAPL,14,0.002716,0.78623252,0.0697,9990
COST,AAPL,20,0.013811,0.16792754,0.0501,9990
COST,AAPL,30,-0.002162,0.82915647,0.0571,9990
AAPL,DIA,1,-0.055372,3.17e-06,0.0823,7074
AAPL,DIA,2,0.008526,0.47343709,0.0635,7074
AAPL,DIA,3,-0.011576,0.33041671,0.0615,7074
AAPL,DIA,4,-0.001695,0.88671917,0.0754,7074
AAPL,DIA,5,-0.007391,0.53439991,0.0535,7074
AAPL,DIA,7,0.002788,0.81470996,0.0605,7074
AAPL,DIA,10,-0.038025,0.00139107,0.0674,7074
AAPL,DIA,14,0.013125,0.27016191,0.0585,7074
AAPL,DIA,20,-0.012307,0.30136698,0.0506,7074
AAPL,DIA,30,0.014474,0.2244933,0.0694,7074
DIA,AAPL,1,-0.061084,2.7e-07,0.0664,7074
DIA,AAPL,2,-0.007046,0.55355601,0.0664,7074
DIA,AAPL,3,-0.000167,0.98877961,0.0495,7074
DIA,AAPL,4,0.00933,0.43283839,0.0635,7074
DIA,AAPL,5,-0.003869,0.74502054,0.0496,7074
DIA,AAPL,7,0.019141,0.10761643,0.0724,7074
DIA,AAPL,10,0.010907,0.3593475,0.0436,7074
DIA,AAPL,14,0.009923,0.40447737,0.0733,7074
DIA,AAPL,20,0.012438,0.2962384,0.0495,7074
DIA,AAPL,30,0.001791,0.88056907,0.0606,7074
AAPL,DX-Y.NYB,1,-0.049135,1.6e-07,0.0877,11377
AAPL,DX-Y.NYB,2,0.001696,0.85646465,0.069,11377
AAPL,DX-Y.NYB,3,0.004968,0.59623053,0.0542,11377
AAPL,DX-Y.NYB,4,0.019434,0.03821722,0.0542,11377
AAPL,DX-Y.NYB,5,-0.00533,0.56982216,0.0562,11377
AAPL,DX-Y.NYB,7,-0.002507,0.78924111,0.072,11377
AAPL,DX-Y.NYB,10,0.008902,0.34261698,0.0512,11377
AAPL,DX-Y.NYB,14,-0.007619,0.41673431,0.0503,11377
AAPL,DX-Y.NYB,20,-0.002955,0.75281699,0.0641,11377
AAPL,DX-Y.NYB,30,0.00153,0.8705885,0.0553,11377
DX-Y.NYB,AAPL,1,0.012076,0.19776257,0.064,11377
DX-Y.NYB,AAPL,2,-0.009559,0.30802685,0.0641,11377
DX-Y.NYB,AAPL,3,-0.016513,0.07823629,0.0631,11377
DX-Y.NYB,AAPL,4,-0.008081,0.38883905,0.0709,11377
DX-Y.NYB,AAPL,5,0.014089,0.13300935,0.0631,11377
DX-Y.NYB,AAPL,7,0.014428,0.12394992,0.0394,11377
DX-Y.NYB,AAPL,10,-0.004332,0.64424698,0.0503,11377
DX-Y.NYB,AAPL,14,-0.004876,0.60324128,0.0591,11377
DX-Y.NYB,AAPL,20,-0.010492,0.26354528,0.0572,11377
DX-Y.NYB,AAPL,30,0.001468,0.87578415,0.0483,11377
AAPL,ETHU,1,-0.032851,0.49336913,0.0259,438
AAPL,ETHU,2,0.100301,0.03629411,0.062,438
AAPL,ETHU,3,-0.057691,0.22983411,0.0563,438
AAPL,ETHU,4,-0.108779,0.02343039,0.0749,438
AAPL,ETHU,5,-0.045363,0.34634678,0.0493,438
AAPL,ETHU,7,-0.069465,0.14995973,0.026,438
AAPL,ETHU,10,0.007502,0.87702342,0.0564,438
AAPL,ETHU,14,-0.020525,0.67343691,0.037,438
AAPL,ETHU,20,0.137389,0.00489505,0.1811,438
AAPL,ETHU,30,0.020638,0.67768324,0.0586,438
ETHU,AAPL,1,0.003393,0.94362121,0.0457,438
ETHU,AAPL,2,-0.03086,0.52043412,0.0454,438
ETHU,AAPL,3,0.000113,0.99811934,0.0236,438
ETHU,AAPL,4,-0.06124,0.20291164,0.0554,438
ETHU,AAPL,5,-0.013404,0.7809175,0.0285,438
ETHU,AAPL,7,0.014414,0.76540564,0.0466,438
ETHU,AAPL,10,-0.083536,0.08431538,0.0429,438
ETHU,AAPL,14,0.012397,0.79909553,0.0552,438
ETHU,AAPL,20,0.050172,0.30614253,0.0471,438
ETHU,AAPL,30,-0.013572,0.78461565,0.0165,438
AAPL,FNGU,1,-0.093871,0.13187758,0.0635,260
AAPL,FNGU,2,0.022979,0.71335444,0.0518,260
AAPL,FNGU,3,-0.144958,0.02008144,0.0514,260
AAPL,FNGU,4,-0.129801,0.03794581,0.0288,260
AAPL,FNGU,5,-0.05473,0.38411909,0.0571,260
AAPL,FNGU,7,-0.040245,0.52398034,0.0915,260
AAPL,FNGU,10,0.055494,0.38227568,0.0697,260
AAPL,FNGU,14,-0.087123,0.17316571,0.147,260
AAPL,FNGU,20,0.05125,0.42933208,0.0352,260
AAPL,FNGU,30,-0.037947,0.56693726,0.0391,260
FNGU,AAPL,1,-0.060157,0.33487869,0.0274,260
FNGU,AAPL,2,0.172972,0.00533832,0.0517,260
FNGU,AAPL,3,-0.056236,0.36926481,0.0749,260
FNGU,AAPL,4,-0.059537,0.34273778,0.0177,260
FNGU,AAPL,5,0.016103,0.79802517,0.0376,260
FNGU,AAPL,7,-0.073391,0.2447696,0.1171,260
FNGU,AAPL,10,0.011385,0.85784599,0.0418,260
FNGU,AAPL,14,-0.021383,0.7385967,0.0734,260
FNGU,AAPL,20,0.171801,0.00764199,0.0538,260
FNGU,AAPL,30,0.077013,0.24469941,0.0391,260
AAPL,GC=F,1,0.03993,0.00140515,0.073,6395
AAPL,GC=F,2,0.004976,0.69075912,0.0535,6395
AAPL,GC=F,3,-0.021201,0.09009499,0.0573,6395
AAPL,GC=F,4,-0.002125,0.86515831,0.0525,6395
AAPL,GC=F,5,0.013874,0.2674623,0.0457,6395
AAPL,GC=F,7,0.006875,0.58272488,0.0467,6395
AAPL,GC=F,10,0.011459,0.35992749,0.07,6395
AAPL,GC=F,14,0.038144,0.00230774,0.0613,6395
AAPL,GC=F,20,-0.026318,0.03561391,0.0593,6395
AAPL,GC=F,30,0.012805,0.30705404,0.0674,6395
GC=F,AAPL,1,0.006552,0.60040828,0.0554,6395
GC=F,AAPL,2,0.017961,0.15101717,0.0642,6395
GC=F,AAPL,3,0.014359,0.25104799,0.0574,6395
GC=F,AAPL,4,-0.005376,0.66740194,0.0564,6395
GC=F,AAPL,5,0.006816,0.58592544,0.0583,6395
GC=F,AAPL,7,-0.035464,0.00458521,0.0652,6395
GC=F,AAPL,10,-0.008479,0.49813291,0.0525,6395
GC=F,AAPL,14,0.009486,0.4486544,0.0544,6395
GC=F,AAPL,20,0.000248,0.98421066,0.0486,6395
GC=F,AAPL,30,0.005256,0.67502227,0.0556,6395
AAPL,GGLL,1,-0.061794,0.06785285,0.0348,875
AAPL,GGLL,2,0.021426,0.52724032,0.0603,875
AAPL,GGLL,3,-0.040242,0.23519009,0.0271,875
AAPL,GGLL,4,-0.082826,0.0144812,0.0682,875
AAPL,GGLL,5,-0.024617,0.46834513,0.0472,875
AAPL,GGLL,7,-0.012578,0.71135,0.0625,875
AAPL,GGLL,10,-0.018161,0.59375224,0.0436,875
