is_return,is_sharpe,is_maxdd,is_trades,is_trades_yr,bh_return_is,oos_return,oos_sharpe,oos_maxdd,oos_trades,oos_trades_yr,bh_return,vs_bh,leader,follower,lag,threshold,hold_days,correlation,stability
-24.98,-1.541,39.55,8,10.6,-20.67,-16.04,-30.8642,16.04,3,9.1,-74.65,58.61,ROBN,ETHU,20,0.01,1,0.232732,0.2044
-41.68,-3.1282,41.98,7,9.2,-20.67,-0.25,0.2977,12.11,3,9.1,-74.65,74.4,ROBN,ETHU,20,0.01,3,0.232732,0.2044
-69.84,-7.6319,71.05,7,9.2,-20.67,9.02,2.5388,6.01,3,9.1,-74.65,83.67,ROBN,ETHU,20,0.01,5,0.232732,0.2044
9.4,0.7771,21.32,6,7.9,-20.67,-63.06,-9.5823,63.06,2,6.1,-74.65,11.59,ROBN,ETHU,20,0.01,10,0.232732,0.2044
-65.97,-0.0416,84.1,4,5.3,-20.67,16.57,3.6236,0.0,2,6.1,-74.65,91.22,ROBN,ETHU,20,0.01,20,0.232732,0.2044
10.82,2.805,15.25,8,10.6,-20.67,-16.04,-30.8642,16.04,3,9.1,-74.65,58.61,ROBN,ETHU,20,0.02,1,0.232732,0.2044
-22.26,-1.6867,31.9,7,9.2,-20.67,-0.25,0.2977,12.11,3,9.1,-74.65,74.4,ROBN,ETHU,20,0.02,3,0.232732,0.2044
-81.38,-6.1929,82.13,7,9.2,-20.67,9.02,2.5388,6.01,3,9.1,-74.65,83.67,ROBN,ETHU,20,0.02,5,0.232732,0.2044
3.39,0.5283,21.32,6,7.9,-20.67,-63.06,-9.5823,63.06,2,6.1,-74.65,11.59,ROBN,ETHU,20,0.02,10,0.232732,0.2044
-65.97,-0.0416,84.1,4,5.3,-20.67,16.57,3.6236,0.0,2,6.1,-74.65,91.22,ROBN,ETHU,20,0.02,20,0.232732,0.2044
-4.48,0.2424,31.3,8,10.6,-20.67,-16.04,-30.8642,16.04,3,9.1,-74.65,58.61,ROBN,ETHU,20,0.03,1,0.232732,0.2044
-24.13,-3.3027,25.68,7,9.2,-20.67,-0.25,0.2977,12.11,3,9.1,-74.65,74.4,ROBN,ETHU,20,0.03,3,0.232732,0.2044
-74.13,-4.087,75.18,7,9.2,-20.67,9.02,2.5388,6.01,3,9.1,-74.65,83.67,ROBN,ETHU,20,0.03,5,0.232732,0.2044
-2.78,0.2668,23.56,5,6.6,-20.67,-63.06,-9.5823,63.06,2,6.1,-74.65,11.59,ROBN,ETHU,20,0.03,10,0.232732,0.2044
-94.32,-0.6382,96.94,4,5.3,-20.67,-4.69,-1.1924,7.01,2,6.1,-74.65,69.96,ROBN,ETHU,20,0.03,20,0.232732,0.2044
32.83,7.3765,5.62,8,10.6,-20.67,-6.44,-5.2262,10.37,3,9.1,-74.65,68.21,ROBN,ETHU,20,0.05,1,0.232732,0.2044
-44.65,-6.3489,44.65,7,9.2,-20.67,5.24,1.6478,12.11,3,9.1,-74.65,79.88,ROBN,ETHU,20,0.05,3,0.232732,0.2044
14.8,1.2673,32.23,7,9.2,-20.67,15.99,9.822,0.0,2,6.1,-74.65,90.64,ROBN,ETHU,20,0.05,5,0.232732,0.2044
-19.66,-1.2519,27.39,5,6.6,-20.67,-63.06,-9.5823,63.06,2,6.1,-74.65,11.59,ROBN,ETHU,20,0.05,10,0.232732,0.2044
-94.32,-0.6382,96.94,4,5.3,-20.67,-4.69,-1.1924,7.01,2,6.1,-74.65,69.96,ROBN,ETHU,20,0.05,20,0.232732,0.2044
6.45,2.0001,16.83,7,9.2,-20.67,-11.07,-8.3349,14.81,3,9.1,-74.65,63.58,ROBN,ETHU,20,0.07,1,0.232732,0.2044
-27.05,-3.4673,32.21,7,9.2,-20.67,-1.76,-0.1095,12.11,3,9.1,-74.65,72.88,ROBN,ETHU,20,0.07,3,0.232732,0.2044
-50.78,-3.7811,53.33,6,7.9,-20.67,30.23,6.7808,0.0,2,6.1,-74.65,104.88,ROBN,ETHU,20,0.07,5,0.232732,0.2044
-6.3,0.5611,55.36,5,6.6,-20.67,-63.06,-9.5823,63.06,2,6.1,-74.65,11.59,ROBN,ETHU,20,0.07,10,0.232732,0.2044
-78.36,-0.1234,90.78,4,5.3,-20.67,-4.69,-1.1924,7.01,2,6.1,-74.65,69.96,ROBN,ETHU,20,0.07,20,0.232732,0.2044
10.98,20.9649,0.0,3,4.2,39.1,0.0,0.0,0.0,0,0.0,-34.92,34.92,DX-Y.NYB,FNGU,30,0.01,1,-0.139398,0.3322
0.46,0.4625,10.61,3,4.2,39.1,0.0,0.0,0.0,0,0.0,-34.92,34.92,DX-Y.NYB,FNGU,30,0.01,3,-0.139398,0.3322
-19.91,-1.1542,34.51,3,4.2,39.1,0.0,0.0,0.0,0,0.0,-34.92,34.92,DX-Y.NYB,FNGU,30,0.01,5,-0.139398,0.3322
-41.59,-1.575,50.78,3,4.2,39.1,0.0,0.0,0.0,0,0.0,-34.92,34.92,DX-Y.NYB,FNGU,30,0.01,10,-0.139398,0.3322
-77.89,-2.3774,78.35,2,2.8,39.1,0.0,0.0,0.0,0,0.0,-34.92,34.92,DX-Y.NYB,FNGU,30,0.01,20,-0.139398,0.3322
